caldt,mkt,ewmkt
1927-09-21,-0.00134115,-0.00204344
1927-09-22,-0.0114909,-0.00984918
1927-09-23,0.0052077,0.0053967
1927-09-24,0.00650467,0.00236167
1927-09-26,-0.0090381,-0.00497741
1927-09-27,0.00234939,-0.000557736
1927-09-28,-0.0035375,-0.00193145
1927-09-29,0.00205142,0.00068118
1927-09-30,0.0128388,0.0115537
1927-10-01,0.00534779,0.00509934
1927-10-03,0.00280316,0.00163112
1927-10-04,-0.00422722,-0.00426968
1927-10-05,-0.0026958,-0.003137
1927-10-06,0.00259972,0.00300361
1927-10-07,-0.00724066,-0.00650492
1927-10-08,-0.00317332,-0.00357331
1927-10-10,-0.00520357,-0.00928153
1927-10-11,0.000449869,0.00251994
1927-10-13,0.00697725,0.00681166
1927-10-14,1.63739e-05,0.00321664
1927-10-15,0.000348066,0.0040132
1927-10-17,-0.0125217,-0.0125182
1927-10-18,0.00354723,0.00182845
1927-10-19,-0.00798777,-0.00512654
1927-10-20,-0.0101099,-0.00979985
1927-10-21,-0.00743854,-0.00213751
1927-10-22,-0.00693409,-0.0055155
1927-10-24,0.00374791,0.0026658
1927-10-25,0.0160099,0.00978238
1927-10-26,0.000785042,0.00434844
1927-10-27,-0.00404267,-0.00140631
1927-10-28,-0.0144468,-0.0152484
1927-10-29,-0.00491387,-0.00527898
1927-10-31,0.00761864,0.00704976
1927-11-01,0.000131581,0.00250025
1927-11-02,0.0099014,0.0034965
1927-11-03,0.0114007,0.0113401
1927-11-04,-0.000182554,0.000879658
1927-11-05,0.00588949,0.00597795
1927-11-07,0.00696577,0.00934027
1927-11-09,-0.0080222,-0.00503081
1927-11-10,0.00259484,0.00226173
1927-11-11,0.00868388,0.00517127
1927-11-12,0.0033508,0.00328837
1927-11-14,0.00514197,0.00772258
1927-11-15,0.00106814,0.00353712
1927-11-16,-0.000351574,0.00447179
1927-11-17,0.00175589,0.00301996
1927-11-18,0.00618431,0.00736957
1927-11-19,0.0026623,0.00496294
1927-11-21,-0.0051109,-0.00114864
1927-11-22,0.00377091,0.00657192
1927-11-23,0.00299972,0.00368626
1927-11-25,0.00257742,0.00436436
1927-11-26,7.87874e-05,0.00309871
1927-11-28,-0.0075411,-0.00492707
1927-11-29,0.00660573,0.00959833
1927-11-30,0.00539733,0.00605076
1927-12-01,-0.00471073,-0.00354036
1927-12-02,0.00371533,0.00291427
1927-12-03,0.00332094,0.0020465
1927-12-05,-0.00389394,-0.00180045
1927-12-06,-0.000393646,1.97116e-05
1927-12-07,-0.00517121,-0.00616124
1927-12-08,-0.00848891,-0.00766278
1927-12-09,0.0115491,0.0113789
1927-12-10,0.000679275,0.00407563
1927-12-12,0.00598641,0.00938777
1927-12-13,0.00417696,0.00363023
1927-12-14,-0.00379451,-0.00411516
1927-12-15,0.00527177,0.0077252
1927-12-16,0.00671455,0.00404454
1927-12-17,0.000633296,0.00200209
1927-12-19,0.00321071,0.00189829
1927-12-20,0.000162266,-0.00133061
1927-12-21,-0.000569673,0.00240092
1927-12-22,-0.000214003,-0.00181052
1927-12-23,0.00207123,0.000149082
1927-12-24,0.00148438,0.00153511
1927-12-27,0.000148058,0.00114879
1927-12-28,-0.0059271,-0.00706829
1927-12-29,0.00165997,-0.00114831
1927-12-30,0.00422993,0.0121458
1927-12-31,0.00324558,0.00475637
1928-01-03,0.0045861,0.00971296
1928-01-04,-0.0012286,0.00121623
1928-01-05,-0.00722361,-0.00586614
1928-01-06,0.00676849,0.00935561
1928-01-07,0.00112033,0.00235898
1928-01-09,-0.00883447,-0.00613524
1928-01-10,-0.00822201,-0.0112544
1928-01-11,0.0013319,0.00691295
1928-01-12,0.00527817,0.0071242
1928-01-13,0.00631345,0.00687928
1928-01-14,-0.00669089,-0.00491421
1928-01-16,-0.00872963,-0.00970385
1928-01-17,0.00186987,0.00670166
1928-01-18,-0.00311337,-0.00511757
1928-01-19,0.00591235,0.00557826
1928-01-20,0.00586487,0.00787778
1928-01-21,0.00213844,0.00383839
1928-01-23,0.00638364,0.00757246
1928-01-24,0.00298207,0.00578899
1928-01-25,-0.0104696,-0.0121529
1928-01-26,0.00540857,0.00777371
1928-01-27,0.00276558,0.00139426
1928-01-28,-0.00490814,-0.00214908
1928-01-30,-0.00417713,-0.00632546
1928-01-31,0.00334856,0.00811859
1928-02-01,-0.00242059,-0.00106808
1928-02-02,0.00448877,0.00582341
1928-02-03,-0.011326,-0.0124526
1928-02-04,0.000568708,-0.00187144
1928-02-06,0.0022123,0.00486266
1928-02-07,-0.00286292,-0.00733415
1928-02-08,0.000855464,-0.00316459
1928-02-09,0.00465231,0.00447045
1928-02-10,-0.000731806,-0.00216004
1928-02-11,7.92861e-05,0.00272545
1928-02-14,-0.00373745,-0.000913983
1928-02-15,-0.0026689,-0.00337441
1928-02-16,-0.00304414,-0.00478281
1928-02-17,-0.016637,-0.0210313
1928-02-18,-0.00470984,-0.00894709
1928-02-20,-0.00154989,0.00200839
1928-02-21,0.0106739,0.0132841
1928-02-23,0.00226329,0.00320115
1928-02-24,0.00345584,0.00223567
1928-02-25,0.00142729,0.00340857
1928-02-27,-0.00474943,-0.00407517
1928-02-28,0.00379709,0.00463577
1928-02-29,0.00579527,0.00662058
1928-03-01,0.00265392,0.00314993
1928-03-02,0.000893759,-0.000312429
1928-03-03,0.00493451,0.0037471
1928-03-05,0.0067941,0.00431469
1928-03-06,0.00408219,0.00416502
1928-03-07,-0.00427468,-0.00371327
1928-03-08,0.00423031,0.00373895
1928-03-09,0.0122925,0.00834616
1928-03-10,-0.00240207,-0.0047637
1928-03-12,0.00451704,0.00211562
1928-03-13,-0.00305603,-0.00186188
1928-03-14,0.00116912,0.00222154
1928-03-15,0.00753155,0.00719036
1928-03-16,0.00951462,0.00594096
1928-03-17,0.00209829,0.00291245
1928-03-19,0.0011179,0.00529705
1928-03-20,0.00411653,0.00497357
1928-03-21,0.00885414,0.00864164
1928-03-22,-0.00359293,-0.00631402
1928-03-23,0.00738908,0.00218853
1928-03-24,0.000738336,-0.000576215
1928-03-26,0.00949613,0.00595848
1928-03-27,-0.00334237,0.000880068
1928-03-28,0.00030304,0.00401929
1928-03-29,0.00211093,0.0043077
1928-03-30,0.0149547,0.0123979
1928-03-31,-0.0055987,-0.00294285
1928-04-02,-0.00875267,-0.00208903
1928-04-03,0.00622851,0.00593694
1928-04-04,-0.000704816,0.00246346
1928-04-05,0.0113156,0.00981277
1928-04-09,0.00330117,0.00888426
1928-04-10,-0.00721905,-0.00522706
1928-04-11,0.0141753,0.0168147
1928-04-12,-0.00255301,0.00080327
1928-04-13,0.0141313,0.013058
1928-04-14,-0.00432091,-0.00114234
